efid,id,salesArea,score,scoreAlt,smartwayScore,standard,stdText
4BMXV03.0LER,19548,3,1,-1,-1,B9,BIN 9
4BMXV03.0LER,19548,7,1,-1,-1,L1,LEV
4GDXV01.6D02,19549,9,2,-1,-1,B8,BIN 8
4GDXV01.6D02,19550,9,2,-1,-1,B8,BIN 8
4GMXV02.2025,19551,9,2,-1,-1,B8,BIN 8
4GMXV02.2025,19552,9,2,-1,-1,B8,BIN 8
4GDXV02.0D04,19553,9,5,-1,-1,B5,BIN 5
4GDXV02.0D04,19553,9,6,-1,1,U2,ULEV II
4GDXV02.0D04,19554,9,5,-1,-1,B5,BIN 5
4GDXV02.0D04,19554,9,6,-1,1,U2,ULEV II
4DSXV02.4GBB,19555,3,1,-1,-1,B9,BIN 9
4DSXV02.4GBB,19555,7,1,-1,-1,L1,LEV
4DSXV02.4GBB,19556,3,1,-1,-1,B9,BIN 9
4DSXV02.4GBB,19556,7,1,-1,-1,L1,LEV
4DSXV03.0GBB,19557,3,1,-1,-1,B9,BIN 9
4DSXV03.0GBB,19557,7,1,-1,-1,L1,LEV
4DSXV03.0GBB,19558,3,1,-1,-1,B9,BIN 9
4DSXV03.0GBB,19558,7,1,-1,-1,L1,LEV
4DSXV03.0GBB,19559,3,1,-1,-1,B9,BIN 9
4DSXV03.0GBB,19559,7,1,-1,-1,L1,LEV
4CRXV02.4VM0,19560,3,1,-1,-1,B9,BIN 9
4CRXV02.4VM0,19560,7,1,-1,-1,L1,LEV
4CRXV02.7VH0,19561,9,2,-1,-1,B8,BIN 8
4GDXV01.6D02,19562,9,2,-1,-1,B8,BIN 8
4GDXV01.6D02,19563,9,2,-1,-1,B8,BIN 8
4GDXV02.0D04,19564,9,5,-1,-1,B5,BIN 5
4GDXV02.0D04,19564,9,6,-1,1,U2,ULEV II
4GDXV02.0D04,19565,9,5,-1,-1,B5,BIN 5
4GDXV02.0D04,19565,9,6,-1,1,U2,ULEV II
4CRXV02.0VH0,19566,9,2,-1,-1,B8,BIN 8
4CRXV02.0VH0,19567,9,2,-1,-1,B8,BIN 8
4CRXV02.4VH0,19568,9,2,-1,-1,B8,BIN 8
4DSXV02.4GBB,19569,3,1,-1,-1,B9,BIN 9
4DSXV02.4GBB,19569,7,1,-1,-1,L1,LEV
4DSXV02.4GBB,19570,3,1,-1,-1,B9,BIN 9
4DSXV02.4GBB,19570,7,1,-1,-1,L1,LEV
4DSXV03.0GBB,19571,3,1,-1,-1,B9,BIN 9
4DSXV03.0GBB,19571,7,1,-1,-1,L1,LEV
4DSXV03.0GBB,19572,3,1,-1,-1,B9,BIN 9
4DSXV03.0GBB,19572,7,1,-1,-1,L1,LEV
4DSXV03.0GBB,19573,3,1,-1,-1,B9,BIN 9
